alpha,cl,cd,cdp,cm,conv
-5,-0.6246645998698227,0.01139884606290881,0.002094964602541249,0.014557274042297032,true
-4,-0.5436863347069212,0.010007226969134171,0.0012102224165309145,0.020493945098882877,true
-3,-0.4291825623240325,0.008340427083155908,0.0007901377154497054,0.01843388785108417,true
-2,-0.28921975603147815,0.00698854708339824,0.0007362332756047701,0.011788975796730354,true
-1,-0.15575697259703095,0.005776918267672151,0.0007799772151370149,0.007945946523857614,true
0,-1.208163343674462e-13,0.005363655735044649,0.0008183371330214808,2.2489660310726806e-14,true
1,0.15575940988247997,0.005776828467642223,0.0007801055304744182,-0.007946540918632283,true
2,0.28922144676606854,0.006988253833040854,0.000736649392088218,-0.011789616347580611,true
3,0.4292148978365619,0.008339604513408193,0.000790784176333755,-0.018441964397580994,true
4,0.5436508499652506,0.010005968324424477,0.0012111710325964744,-0.020487608166815982,true
5,0.6246316142076244,0.011398011559968014,0.002096004369883499,-0.014551161235457393,true
6,0.7034734977644895,0.013286256789169634,0.0033710035648033005,-0.008165914887410653,true
7,0.790253240144902,0.014332359066141977,0.004088484479166112,-0.0033744495003627064,true
8,0.8734990921619431,0.015937583298811623,0.005041090362481094,0.0018235568361376746,true
9,0.9479153374094218,0.018641794660729117,0.006534262343431308,0.008122563497327573,true
10,1.0135022449305713,0.022206205104061173,0.008850967613478155,0.015198818257995446,true
11,1.0654688331233542,0.026687825518274682,0.012291121793981305,0.023462134506414753,true
12,1.0759087525825164,0.03256857415338232,0.016735312453632165,0.035426879575704194,true
13,1.016219758369807,0.04702112408369603,0.02912896312271331,0.03889161619398165,true
14,0.9485857930986427,0.07671184156812418,0.05776739942822527,0.01766887416080835,true
15,0.5173738930183915,0.146788091535451,0.12373933128121915,-0.016491884995174694,true
16,0.6630208035023626,1.1246778607091956,0.20675532004583447,-0.02546270080947081,false
17,0.5463131151049806,0.17704753877216495,0.16069555557457552,-0.030800059537618947,false
18,0.8037892274182418,2.5726881861966144,0.27597846976651613,-0.11837968033214416,false
19,0.5828907388432402,0.19696768153196137,0.20229031391463673,-0.047153014902155156,false
20,0.6084329710448292,0.21637625774229882,0.22136421203656195,-0.05379851147853829,true
