alpha,cl,cd,cdp,cm,conv
-5,-0.13984259469989302,0.012914885114814992,0.004427119516430108,-0.09002777467176479,true
-4,-0.03595481564510318,0.011052137631105158,0.0027558843704655702,-0.08800051245986329,true
-3,0.07050246333323942,0.009880278275541264,0.0017630517548038887,-0.0864289600647827,true
-2,0.17757689895832002,0.008885650150509282,0.001146518619495169,-0.08513722609986607,true
-1,0.2837291853239759,0.008024077528372163,0.0009806476943214906,-0.0841131474346072,true
0,0.3764605606448317,0.006541060161088952,0.0010977398213885758,-0.07962286961233937,true
1,0.5440071776792564,0.006748707730650457,0.0011511213574158935,-0.09072936948031404,true
2,0.6427714768776274,0.007079718402566091,0.0010708029931276984,-0.0879887279409219,true
3,0.738836950298805,0.007620820928278679,0.0010787025554006696,-0.08466703206391661,true
4,0.8313812302272068,0.008486402487808426,0.001220796574425809,-0.08082241508152044,true
5,0.9221252588013537,0.009747035664132186,0.0015638034750875538,-0.07704901730897966,true
6,1.0184177796396099,0.010818276198125308,0.0019822586201104953,-0.07446517577389519,true
7,1.1152976027649109,0.011831145544715899,0.002372391316497036,-0.07212689800148783,true
8,1.2096884147467581,0.012914519694998156,0.002705794595058278,-0.06953124382691742,true
9,1.2840901216788074,0.015222720895521593,0.003510982232283474,-0.06418683801653959,true
10,1.344987400603374,0.017912065785990982,0.004753581861476381,-0.05686360275868615,true
11,1.3890520348925663,0.021691886510411776,0.006472251676862528,-0.04834590490069183,true
12,1.415233540786515,0.027165815880381142,0.00974720339657842,-0.03963530110782343,true
13,1.4309483236027618,0.034414358688779616,0.01453970647452007,-0.03306310302229413,true
14,1.431041982172181,0.04439151227804283,0.021839484075450947,-0.029169845255449186,true
15,1.4026529355435473,0.05935582107424732,0.03370538933050945,-0.028708153233901197,true
16,1.3685973740930006,0.07703359536775832,0.04845806528391722,-0.03141288194413953,true
17,1.347371582025612,0.09425663371951659,0.06361185337609035,-0.035775069133160586,true
18,1.327586343039249,0.11177766500562084,0.08008308893402154,-0.04117258847748294,true
19,1.3121232211280593,0.12895884552561293,0.09794224841810442,-0.04756871108404032,true
20,1.2997521762925037,0.1462034355263491,0.1183191310841675,-0.05543312319403566,true
