alpha,cl,cd,cdp,cm,conv
-5,-0.5866902409889283,0.008265993183247519,0.0011788617446055211,0.006311993890692785,true
-4,-0.4570212324512992,0.0073680209828782305,0.0007479872291727492,0.0022212345439973735,true
-3,-0.3303919045899732,0.006118263128698062,0.00033196509798148635,-0.0014219823770512765,true
-2,-0.19939295569378748,0.005008318304035668,6.130750432251412e-5,-0.005975957466204138,true
-1,-0.09125232093595644,0.004463504843512202,-0.00010413949409058404,-0.004888002397027,true
0,-2.4160578052101478e-14,0.00420190025753825,-0.00014191455758809783,4.642558745075944e-15,true
1,0.09125224442481339,0.004463497056750332,-0.00010410759060193515,0.004888024059095316,true
2,0.1993934968521148,0.0050082896788747125,6.14037413919034e-5,0.0059758412461777,true
3,0.33039984525375576,0.006118197991488915,0.00033221382496383795,0.0014201168177451215,true
4,0.45704041663262934,0.007367853545175673,0.0007484607917494586,-0.0022257149432311175,true
5,0.5867062793781469,0.008265712945507254,0.0011795972230154185,-0.006315786032872776,true
6,0.720466320372907,0.009085569760270217,0.0016145508935118276,-0.011488396286298542,true
7,0.8357350081980184,0.00993680388557288,0.002058847342787002,-0.01279991159580895,true
8,0.9225876196194093,0.010879219134602932,0.002572137040934328,-0.008023404267843946,true
9,1.004651648511347,0.012414623306969352,0.0035375356904783265,-0.0025233410877370075,true
10,1.084024269717884,0.014295477969515288,0.004803633387313102,0.003261037207356167,true
11,1.1565141219522528,0.016869139524944385,0.006580334462022477,0.009804906577581108,true
12,1.2245934026232486,0.01969726936593905,0.008605696083927125,0.01635278421427866,true
13,1.2702577548867058,0.024023779181021398,0.011779083160662644,0.02512720291805427,true
14,1.2638952629763813,0.0303056116730586,0.016391457220319296,0.038265368303872484,true
15,1.2199846817024527,0.04463910294983511,0.028232822955516337,0.03729482384484535,true
16,1.102237706026038,0.08409456578671018,0.06538848653353092,0.011323988007527052,true
17,0.8758994825149049,0.14830929248138616,0.13670212150461172,-0.021096101905778663,true
18,0.6440355704497432,0.15921169564124138,0.14714048530894872,-0.034253820038046036,false
19,0.595313599198707,0.20346586639856262,0.2033557666573204,-0.05015744982540853,true
20,0.6186325366918948,0.216728038244432,0.22328270173184098,-0.05767600922741108,true
