alpha,cl,cd,cdp,cm,conv
-5,-0.1524240262765045,0.009957879681678999,0.0027016367442952507,-0.0861850303342194,true
-4,-0.044409932198345166,0.009000468996897045,0.001738487142113948,-0.08516188929094955,true
-3,0.06466906560575833,0.008178091289620357,0.0010089067366347104,-0.08432267534429509,true
-2,0.17488349650843935,0.007698935243782262,0.0006104842056961726,-0.08368578546856478,true
-1,0.28368576863568995,0.007012076797089865,0.0004310628824878753,-0.08317428675511596,true
0,0.39178872974784046,0.0064553777286972805,0.0003965737321088178,-0.08258722588531767,true
1,0.48719919384287075,0.00540707729643321,0.0005562278850651007,-0.07884427795581136,true
2,0.6439308159151174,0.005841702791541766,0.0007158996874299533,-0.0883630967899506,true
3,0.7424598780093663,0.00646997804164635,0.0008001188509274297,-0.08575259898518996,true
4,0.8325097734891884,0.007582900219327632,0.0010724729715101446,-0.08162274717240928,true
5,0.9316155622242595,0.00834495839261341,0.0013370767007543276,-0.07929518407992615,true
6,1.0334093345775448,0.009051180008156164,0.0015932996268232386,-0.07761257054809816,true
7,1.1342698939012277,0.009852989333980908,0.0018375156826765467,-0.0759424359629474,true
8,1.2214668612858839,0.011619320862061244,0.0024658300147469563,-0.07231981601283477,true
9,1.299848352704419,0.013867983324325235,0.0034973756655006425,-0.06747913476437882,true
10,1.3585638757750793,0.01682738580507621,0.004896484904656735,-0.05966504446477503,true
11,1.4130863907948756,0.019777103880334115,0.00645383676803351,-0.05179512628147481,true
12,1.4618807073951339,0.023319714413245027,0.008442652143042406,-0.044682893341234896,true
13,1.4880977712342172,0.029051209540326788,0.012034319110104112,-0.037415365282652525,true
14,1.513306027633897,0.03574206426648678,0.016536131185075586,-0.032672643572275215,true
15,1.5207269711820541,0.045168959569409264,0.023329706320248476,-0.029747181944237557,true
16,1.5080580516703765,0.05844643173351872,0.033580154685109984,-0.029692445229524352,true
17,1.4623355051851477,0.07811598488056853,0.04999009855043423,-0.03363123106472269,true
18,1.392577263818755,0.10322312580804069,0.0728434711044811,-0.04137274235799439,true
19,1.3560423288607892,0.12425730325212017,0.09391270091598104,-0.049339107798643846,true
20,1.3294280577875595,0.1442551797908648,0.1165781064407011,-0.058284315963163774,true
