x/c y/c
0.9732050807568877 -0.09999999999999998
0.9672746508207514 -0.09544838695889386
0.9558891289918916 -0.08685406920302165
0.9433627635810331 -0.07755222738510457
0.930417469909044 -0.06807773494109247
0.9173118899623736 -0.05858999255560199
0.9041436509526812 -0.04912810563745075
0.890931907668756 -0.0396965568100557
0.8776825066145961 -0.030293882444488458
0.8643982245452174 -0.02091549059285875
0.8510837324601388 -0.011557783134028332
0.8377451226767586 -0.002219698922651855
0.8243870583232303 0.007097494184180159
0.81101289447661 0.016393043357857292
0.7851095090437398 0.021040181635979777
0.7688774899514086 0.02235048825618586
0.7526446673556361 0.023633581629674463
0.7364100472046332 0.02488903088592773
0.720172564958174 0.026116974697184082
0.7039320241813959 0.027317711200546844
0.6876892314894337 0.028491462989655054
0.6714457899757736 0.029637949248605952
0.6552030845989892 0.03075597213102974
0.6389617234664741 0.03184427845588838
0.6227215188820475 0.03290167517502804
0.6064817379478455 0.03392710907190511
0.5902419256563041 0.034919638652853656
0.5740022265425654 0.03587829313775543
0.5577633884057777 0.036802052761246075
0.5415265367667954 0.03768940691171614
0.5252924888529478 0.038538344915240094
0.509061506242309 0.03934686709738335
0.4928332959742261 0.040113007245969626
0.4766072590270387 0.04083486074671836
0.46038323011239773 0.041510557480566826
0.4441617379489072 0.042138205092020146
0.4279440068674753 0.04271587087702877
0.4117317980569137 0.04324073580676259
0.3955267664083768 0.04370891651852829
0.3793301571783154 0.044116505503312836
0.36314279463785853 0.04445963412703016
0.34696472258925554 0.044734457071660134
0.3307940189873265 0.04493713190091666
0.31463037976409836 0.04506349890670118
0.29848572081341 0.04510875032074034
0.28237284368231225 0.045063267727718036
0.26627542499917456 0.04491525219888643
0.250173865667855 0.04466327438414884
0.23409296646638553 0.044307921685154794
0.21805649586654485 0.04383517285945825
0.20204551257206876 0.04323091749734443
0.18606190152448585 0.04248980586361539
0.17013797487623958 0.04159823991716391
0.15427340010792182 0.04053459633692859
0.13847342411909133 0.039282729736464524
0.12277846396728648 0.037819291870342914
0.10720186310503534 0.03611004873562397
0.09174506640197092 0.034124853136094195
0.07647089302472472 0.03184042201821566
0.06154475602533174 0.029225344788167892
0.0472804859755344 0.026246401002097897
0.034392044148405014 0.022918994936910048
0.02370521600697565 0.019345702694777277
0.015757252356927712 0.015816637939972494
0.010144589283047652 0.01250843440938911
0.006355917672721576 0.009616008323340117
0.003719832715818235 0.007082243805393979
0.0018512081107418623 0.004763067245835399
0.000662506253766456 0.002678457580645055
7.586638322368779e-5 0.0008559813832626276
7.586638322368784e-5 -0.0008559813832626277
0.0006625062537664561 -0.002678457580645055
0.0018512081107418623 -0.004763067245835399
0.003719832715818235 -0.007082243805393979
0.006355917672721576 -0.009616008323340117
0.010144589283047652 -0.012508434409389108
0.015757252356927712 -0.015816637939972494
0.02370521600697576 -0.019345702694777315
0.034392044148405056 -0.02291899493691006
0.04728048597553432 -0.026246401002097883
0.06154475602533152 -0.029225344788167847
0.07647089302472451 -0.031840422018215624
0.09174506640197068 -0.03412485313609416
0.10720186310503513 -0.03611004873562394
0.12277846396728657 -0.03781929187034293
0.13847342411909122 -0.03928272973646451
0.15427340010792182 -0.040534596336928595
0.1701379748762397 -0.041598239917163916
0.1860619015244859 -0.0424898058636154
0.20204551257206874 -0.04323091749734443
0.21805649586654496 -0.04383517285945826
0.23409296646638555 -0.044307921685154794
0.25017386566785504 -0.04466327438414884
0.2662754249991748 -0.04491525219888643
0.2823728436823126 -0.04506326772771804
0.2984857208134104 -0.04510875032074034
0.3146303797640987 -0.04506349890670118
0.33079401898732674 -0.04493713190091665
0.3469647225892558 -0.044734457071660134
0.36314279463785887 -0.044459634127030155
0.3793301571783156 -0.04411650550331283
0.39552676640837686 -0.04370891651852828
0.41173179805691396 -0.043240735806762576
0.42794400686747536 -0.04271587087702877
0.4441617379489073 -0.042138205092020146
0.46038323011239785 -0.04151055748056681
0.476607259027039 -0.040834860746718354
0.4928332959742263 -0.04011300724596962
0.5090615062423093 -0.039346867097383345
0.525292488852948 -0.03853834491524008
0.5415265367667957 -0.03768940691171613
0.5577633884057779 -0.03680205276124607
0.5740022265425656 -0.03587829313775541
0.5902419256563043 -0.03491963865285365
0.6064817379478458 -0.0339271090719051
0.6227215188820477 -0.032901675175028025
0.6389617234664743 -0.031844278455888365
0.6552030845989895 -0.030755972131029725
0.6714457899757739 -0.02963794924860593
0.687689231489434 -0.02849146298965504
0.7039320241813959 -0.027317711200546827
0.7201725649581743 -0.02611697469718406
0.7364100472046335 -0.024889030885927702
0.7526446673556362 -0.02363358162967445
0.7688774899514088 -0.022350488256185835
0.7851095090437399 -0.02104018163597976
0.8060469188949032 -0.024668559123580385
0.820794876994149 -0.03157838564570721
0.8355512000355696 -0.038460918463593924
0.850312458458639 -0.04531275311834351
0.8650765250834849 -0.052128082935648815
0.8798441804746588 -0.05890106365069599
0.8946180129981788 -0.0656269945491561
0.9093963669418796 -0.07230008059557937
0.9241657828456119 -0.07890597456797857
0.9388435808260845 -0.08537968152536501
0.9531623948478143 -0.0915769112792966
0.9662980532670253 -0.0971399035404953
0.9732050807568877 -0.09999999999999998
